combination,temperature,richness,replicate,predicted_species,microcosmID,day,N,mean_major,mean_volume,rel_richness
Colp,15,1,1,Colp,00014,1,35,105.796177776627,161860.987115241,0
Colp,15,1,1,Colp,00014,2,34.0740740740741,105.25426229615,165016.996120963,0
Colp,15,1,1,Colp,00014,3,33.1481481481482,104.712346815673,168173.005126686,0
Colp,15,1,1,Colp,00014,4,31,103.964292707054,167392.144686842,0
Colp,15,1,1,Colp,00014,5,25.9583333333333,102.742587176054,158166.327358217,0
Colp,15,1,1,Colp,00014,6,21,101.506204225154,147458.366394512,0
Colp,15,1,1,Colp,00014,7,19.2769876290075,100.801239273975,142952.271955053,0
Colp,15,1,1,Colp,00014,8,19,100.167528152909,139288.655694946,0
Colp,15,1,1,Colp,00014,9,19.026743945493,99.5555175505854,133505.58367603,0
Colp,15,1,1,Colp,00014,10,19.569899346117,98.8519433201375,126885.137964122,0
Colp,15,1,1,Colp,00014,11,21,97.3354413914187,119497.72640867,0
Colp,15,1,1,Colp,00014,12,26.9992711366388,93.7223286268569,109532.813540209,0
Colp,15,1,1,Colp,00014,13,32,90.5698173608002,101701.978489889,0
Colp,15,1,1,Colp,00014,14,27.3541666666667,91.2712088673031,102714.49138774,0
Colp,15,1,1,Colp,00014,15,21,92.3665715078465,105580.648177499,0
Colp,15,1,1,Colp,00014,16,17.9814814814815,91.3984754856371,105529.552488147,0
Colp,15,1,1,Colp,00014,17,16.3518518518519,89.5286112792042,104420.329209222,0
Colp,15,1,1,Colp,00014,18,17,86.9457890704049,101503.128702492,0
Colp,15,1,1,Colp,00014,19,23.0208333333333,82.6012605764183,90841.3612147446,0
Colp,15,1,1,Colp,00014,20,28,79.0541860979118,83504.5445770158,0
Colp,15,1,1,Colp,00014,21,22.6458333333333,79.8799054529525,95713.0140996505,0
Colp,15,1,1,Colp,00014,22,17,81.8199632634575,111818.179502478,0
Colp,15,1,1,Colp,00014,23,20.6851851851852,83.0655449989346,123677.631323408,0
Colp,15,1,1,Colp,00014,24,27.6481481481482,84.0206813186911,133013.974476105,0
Colp,15,1,1,Colp,00014,25,30,83.3546202702892,131580.653876583,0
Colp,15,1,1,Colp,00014,26,20.6666666666667,78.5517967186128,107338.67263803,0
Colp,15,1,1,Colp,00014,27,11,74.6505407325601,80137.65427934,0
Colp,15,1,1,Colp,00014,28,12.7291666666667,74.5872923141771,71931.0089691818,0
Colp,15,1,1,Colp,00014,29,17,74.5709345200236,69640.3402343229,0
Colp,15,1,1,Colp,00014,30,18.7592592592593,74.0021191246254,66415.99889024,0
Colp,15,1,1,Colp,00014,31,19.7407407407407,72.8921712907756,64255.345387852,0
Colp,15,1,1,Colp,00014,32,19,72.065856536229,63467.5597420504,0
Colp,15,1,1,Colp,00014,33,14.2083333333333,72.0324835403591,65692.1170374513,0
Colp,15,1,1,Colp,00014,34,10,72.0976030228515,67589.5798867202,0
